Feature,Mean_Video Games,Mean_Beauty,Mean_Music,Mean_Household,Mean_Electronics,Mean_Appliances,F-statistic,p-value
rating,3.7583148558758315,4.029299363057325,2.7888349514563107,3.10413694721826,2.7381723914452367,2.4769452449567724,180.00500009033212,2.3640081433353958e-179
review_ext,-1.0416851441241686,-0.5116348195329086,-1.8543689320388352,-1.3958630527817404,-1.8953337653920934,-2.2230547550432274,204.14596755927553,5.933902039652506e-202
Sentiment,1.29490022172949,1.4857749469214436,0.9368932038834952,0.9215406562054208,0.8159429682436812,0.5461095100864554,199.01049755633738,3.546248557786319e-197
subjective_score,0.8078325298509484,0.8226408411301831,0.8343650923806776,0.7837464894339463,0.7705380896894637,0.7826597421438103,18.090711209507568,7.342293778216329e-18
word_count,69.1219512195122,50.06751592356688,59.092233009708735,35.35805991440799,76.68308489954634,65.72478386167147,42.043010770168486,1.0199055479691973e-42
sent_count,4.075388026607539,3.705732484076433,4.555825242718447,2.944365192582026,4.500972132209981,4.582132564841499,26.806001568854164,6.605175252233679e-27
sent_length,17.138912930776037,15.41513673815419,14.342855589536368,14.40670530694446,18.65782540684735,16.68001919605403,20.07874170682117,6.39452212618974e-20
title_length,1.492239467849224,1.2645435244161358,1.7718446601941749,1.3166904422253922,1.2443292287751133,1.276657060518732,10.492299110424309,4.790028017735516e-10
FRE,82.03745011086474,83.34014437367303,83.10201456310679,83.99610556348074,77.26456254050551,76.81061959654177,42.74880435904783,1.8974462352129058e-43
#adj,0.08303208817607993,0.10133566139922569,0.10246340338446652,0.12043665645485761,0.08883881633316733,0.07754760607493641,35.257800438093405,1.0992540863535641e-35
#adv,0.0636251359634208,0.07308246464165398,0.06864496675745875,0.08503309269201799,0.08179045641545421,0.07144024011080716,11.97657901668187,1.464813590320785e-11
#nouns,0.20209406581576037,0.18116610982790396,0.1687499848574913,0.18465504699977808,0.18731924631969418,0.19915243614918493,10.999770828447259,1.457167975548254e-10
elap_days,1012.689578713969,1928.2305732484076,805.8519417475728,288.66904422253924,1383.4556059624108,1268.2118155619596,479.2138645186968,0.0
